"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","OtherNumber_OtherNumberType","OtherNumber_OtherNumber"
"Dept Water - Pretoria","2525DB00051","Borehole","-25.55059","25.86577","NGDB-Number","2525DB00051"
"Dept Water - Pretoria","2525DB00050","Borehole","-25.55059","25.86578","NGDB-Number","2525DB00050"
"Dept Water - Pretoria","2525DB00054","Borehole","-25.55059","25.86579","NGDB-Number","2525DB00054"
"Dept Water - Pretoria","2525DB00055","Borehole","-25.55059","25.86580","NGDB-Number","2525DB00055"
"Dept Water - Pretoria","2525DB00182","Borehole","-25.55059","25.98298","NGDB-Number","2525DB00182"
"Dept Water - Pretoria","2525DB00306","Borehole","-25.55059","25.98299","NGDB-Number","2525DB00306"
"Dept Water - Pretoria","2525DB00307","Borehole","-25.55059","25.98299","NGDB-Number","2525DB00307"
"Dept Water - Pretoria","2526CA00530","Borehole","-25.55043","26.02925","Department of Water Affairs and Forestry Number","DT13"
"Dept Water - Pretoria","2526CA00530","Borehole","-25.55043","26.02925","NGDB-Number","2526CA00530"
"Dept Water - North West","2525DB00005","Borehole","-25.55038","25.92716","Boring Branch Number","126343/1"
