"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","DepthDiameter_MeasurementDate","DepthDiameter_DepthToBottom","DepthDiameter_DepthQualifier","DepthDiameter_Diameter"
"Dept Water - Pretoria","2525DB00375","Borehole","-25.54115","25.77132","1900-01-01","24.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00390","Borehole","-25.54115","26.00494","1900-01-01","30.50","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00379","Borehole","-25.54115","26.00994","",,,""
"Dept Water - Pretoria","2526CA00378","Borehole","-25.54115","26.01078","",,,""
"Dept Water - Pretoria","2526CA00389","Borehole","-25.54087","26.00467","1900-01-01","30.50","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00324","Borehole","-25.53949","26.07745","1921-10-12","21.34","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00091","Borehole","-25.53947","25.93520","1900-01-01","55.70","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00093","Borehole","-25.53947","25.97187","",,,""
"Dept Water - Pretoria","2525DA00120","Borehole","-25.53838","25.74858","1900-01-01","40.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00119","Borehole","-25.53837","25.74857","1900-01-01","34.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00380","Borehole","-25.53810","26.00300","1900-01-01","25.45","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00167","Borehole","-25.53725","25.89409","1900-01-01","77.10","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","045368","Borehole","-25.53640","25.90232","1998-06-11","120.00","Measured during Construction","250 mm (10.0")"
"Dept Water - Pretoria","2525DA00116","Borehole","-25.53615","25.71347","1900-01-01","39.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00115","Borehole","-25.53615","25.71497","1900-01-01","9999.99","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00371","Borehole","-25.53532","26.01744","1900-01-01","20.16","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00744","Borehole","-25.53532","26.01912","",,,""
"Dept Water - Pretoria","2525DA00118","Borehole","-25.53531","25.69174","1900-01-01","25.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00095","Borehole","-25.53531","25.95242","1900-01-01","14.49","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00090","Borehole","-25.53503","25.92742","1950-01-01","46.60","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","045803","Borehole","-25.53423","25.90307","1998-06-17","138.00","Measured during Construction","250 mm (10.0")"
"Dept Water - Pretoria","2526CA00325","Borehole","-25.53399","26.08300","1957-07-26","56.69","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00323","Borehole","-25.53398","26.08300","1908-03-05","49.68","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00321","Borehole","-25.53397","26.08300","1904-06-18","31.09","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00319","Borehole","-25.53396","26.08300","1953-01-17","31.69","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00317","Borehole","-25.53395","26.08300","1900-01-01","30.63","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00315","Borehole","-25.53394","26.08300","1900-01-01","45.72","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00314","Borehole","-25.53393","26.08300","1952-09-03","45.72","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00316","Borehole","-25.53393","26.08301","1952-09-03","30.63","Measured during Construction","152 mm (6.0")"
